species_richness,Î»_str,range_str,scaled_cov
167,0_1,0_025,0.07031596896217847
168,0_0,0_025,0.08094359365356174
155,0_5,0_025,0.05558081831876548
144,10_0,0_025,0.031100450170902825
141,100_0,0_025,0.027195115443556076
146,1_0,0_025,0.04833639225834025
197,1_0,0_15,0.11588418777864634
209,0_5,0_1,0.13720124412570667
409,0_0,0_5,0.4134739139199495
141,100_0,0_5,0.028231666897964417
335,0_0,0_15,0.32331486151142386
195,1_0,0_2,0.12344393180583578
143,100_0,0_15,0.028737392992481205
149,10_0,0_2,0.04458889375665923
218,0_5,0_15,0.15488142221134266
288,0_0,0_1,0.2730203932475389
203,0_1,0_05,0.13933355192996766
142,100_0,0_1,0.02815778364582937
141,10_0,0_5,0.038313888688480964
167,1_0,0_05,0.08006785404345841
140,100_0,0_05,0.027488002611252955
144,10_0,0_15,0.043843178574128006
148,10_0,0_1,0.04096665284464471
146,100_0,0_2,0.028139590342299105
221,0_0,0_05,0.16139311731162703
177,1_0,0_5,0.09795049166328205
144,10_0,0_05,0.035973761573973834
183,0_5,0_05,0.09915395725425087
183,1_0,0_1,0.1079159632014208
199,0_5,0_5,0.1341094946220497
277,0_1,0_2,0.26036332621011515
225,0_5,0_2,0.16123514297281294
269,0_1,0_15,0.24427347362954355
363,0_0,0_2,0.3541106620055341
253,0_1,0_1,0.2101279341789726
262,0_1,0_5,0.23432238065116262
